Title:,Employed Part-Time from the Current Population Survey: Labor Force Statistics Database
SubTitle:,"USA - Industry: All Industries - Filter: Absence - Filter Item: N/A - Indicator: (Seas) Employed, Usually Work Part Time LNS12600000"
Time:,01/1968 - 08/2022
Unit of Measure:,Number in thousands
Citation:,"United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed Part-Time | All Industries | Absence | N/A | (Seas) Employed, Usually Work Part Time LNS12600000, 01/1968 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-009 doi:https://doi.org/10.6068/DP1846834CD1B27"
ColumnCount:,2
RowCount:,656
,
Time,"All Industries, Absence, N/A, (Seas) Employed, Usually Work Part Time LNS12600000 (Number in thousands)"
Jan-68,10086
Feb-68,10425
Mar-68,10334
Apr-68,10440
May-68,10788
Jun-68,10752
Jul-68,10678
Aug-68,10597
Sep-68,10863
Oct-68,10737
Nov-68,10949
Dec-68,11033
Jan-69,11015
Feb-69,11064
Mar-69,11011
Apr-69,11264
May-69,11257
Jun-69,11299
Jul-69,11234
Aug-69,11207
Sep-69,11307
Oct-69,11568
Nov-69,11597
Dec-69,11769
Jan-70,11760
Feb-70,11749
Mar-70,11926
Apr-70,12173
May-70,11960
Jun-70,11854
Jul-70,11988
Aug-70,11881
Sep-70,11828
Oct-70,11905
Nov-70,12031
Dec-70,11995
Jan-71,12229
Feb-71,12042
Mar-71,12223
Apr-71,12150
May-71,12188
Jun-71,12518
Jul-71,12532
Aug-71,12589
Sep-71,12514
Oct-71,12612
Nov-71,12590
Dec-71,12563
Jan-72,12826
Feb-72,12850
Mar-72,12841
Apr-72,12940
May-72,12971
Jun-72,12685
Jul-72,13008
Aug-72,13283
Sep-72,13067
Oct-72,12827
Nov-72,12935
Dec-72,13005
Jan-73,12622
Feb-73,13043
Mar-73,13197
Apr-73,13226
May-73,13185
Jun-73,13033
Jul-73,12974
Aug-73,12948
Sep-73,13550
Oct-73,13630
Nov-73,13696
Dec-73,13865
